,owneraddress,tickLower,tickUpper,chainId,vammAddress,unrealizedPnl,realizedPnl,feesPaid,feesGained,depositedMargin,availableMargin,fixedTokenBalance,variableTokenBalance
296,0xbf543d3ec15a8b6f2e60c4993147f0a07105cb2e,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.000841110631283334,0.00036053927704157092682615505141885337,0.48811400000000005000000000000000000000,0E-38,0.49218200000000000000000000000000000000,0.00406799999999995000000000000000000000,0E-38,0E-38
297,0x230695f1fadc1413fbd66d31b8c200c60d85268b,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.000841110631283334,0.00036185845332528424580160048653885337,0.48788100000000000000000000000000000000,0E-38,0.49106400000000000000000000000000000000,0.00318300000000000000000000000000000000,0E-38,0E-38
298,0x9742f4ec7c5f92c00571ea0281c2cac24bda664a,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008411105731170436,0.00036132600415826982876196101892123795,0.48802300000000000000000000000000000000,0E-38,0.49213600000000000000000000000000000000,0.00411300000000000000000000000000000000,0E-38,0E-38
299,0xe4bc92a26c5f2f80f70b03ccde64add20843d957,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008411105333185973,0.00036089030134767121157142160048588534,0.48795000000000000000000000000000000000,0E-38,0.49109900000000000000000000000000000000,0.00314900000000000000000000000000000000,0E-38,0E-38
300,0x7b6942d857f43623c74e32f0e7c1b8bf37bdff83,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008410988462675568,0.00029953329716205882194680279227149670,0.48848400000000003000000000000000000000,0E-38,0.49236600000000000000000000000000000000,0.00388199999999997000000000000000000000,0E-38,0E-38
301,0x8c72b6abda7b68808851de83e3e59fd47b8c4609,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008410913460082686,0.00029546863619998103742542314513826484,0.48860200000000000000000000000000000000,0E-38,0.49442700000000000000000000000000000000,0.00582500000000000000000000000000000000,0E-38,0E-38
302,0x28f4e906bccb590ea44238a6755759583c51dfcf,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008410911837544453,0.00029842675142320770990938229583833587,0.48811400000000005000000000000000000000,0E-38,0.49218200000000000000000000000000000000,0.00406799999999995000000000000000000000,0E-38,0E-38
303,0x36374ee7a7ec2a9ca99df05e310fd707f4c0a675,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008410911837544453,0.00029948201087012002461086105527833587,0.48788000000000000000000000000000000000,0E-38,0.49406400000000000000000000000000000000,0.00618400000000000000000000000000000000,0E-38,0E-38
304,0x95ee2ebac03ee1a27de22515156519371f152f01,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008410911255876111,0.00029937462980145463882908798312381532,0.48802300000000000000000000000000000000,0E-38,0.49213600000000000000000000000000000000,0.00411300000000000000000000000000000000,0E-38,0E-38
305,0xb09854cefce68aa737688533e1776603602e09de,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0008410910857897088,0.00029887216270221376430094645802536783,0.48795000000000000000000000000000000000,0E-38,0.49409900000000000000000000000000000000,0.00614900000000000000000000000000000000,0E-38,0E-38
